"filename", "language", "PHP", "JavaScript", "HTML", "JSON", "CSS", "Markdown", "XML", "Shell Script", "YAML", "Docker", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\mainProject\db\lms.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 235, 202, 103, 540
"c:\xampp\htdocs\mainProject\email.html", "HTML", 0, 0, 371, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44, 420
"c:\xampp\htdocs\mainProject\js\addexcel.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 38
"c:\xampp\htdocs\mainProject\js\announcement.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 26
"c:\xampp\htdocs\mainProject\js\assignment.js", "JavaScript", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 127
"c:\xampp\htdocs\mainProject\js\chat.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 52
"c:\xampp\htdocs\mainProject\js\class.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 118
"c:\xampp\htdocs\mainProject\js\login.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"c:\xampp\htdocs\mainProject\js\logout.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\xampp\htdocs\mainProject\js\message.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 32
"c:\xampp\htdocs\mainProject\js\notes.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25, 120
"c:\xampp\htdocs\mainProject\js\publish.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"c:\xampp\htdocs\mainProject\js\question.js", "JavaScript", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30, 152
"c:\xampp\htdocs\mainProject\js\quiz.js", "JavaScript", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26, 141
"c:\xampp\htdocs\mainProject\js\regStudent.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 85
